Stages,Average,5thPercentile,95thPercentile
Start_Point,0,0,0
Queue_for_CSI_visit,3472.742874,519.8771284,6604.56328
CSI_visit,3743.127607,573.5514934,7690.202225
Queue_for_data_input_at_station,3953.528933,595.8111034,8086.45723
Data_input_at_station,4013.528933,655.8111034,8146.45723
Queue_for_Courier,,,
Courier,,,
Queue_for_transport_to_lab,4013.528933,655.8111034,8146.45723
Transport_to_lab,4128.586861,757.3317034,8275.13743
Queue_for_Sample_prep,5764.856984,1626.248783,12305.64742
Sample_prep,5820.242885,1637.290043,12335.17362
Queue_for_DNA_sequencer,7516.974537,1693.480343,15475.81552
DNA_Sequencer,10398.64183,4573.480343,18355.81552
Queue_for_validation,11066.13523,4580.108343,19514.57101
Validation,11067.63228,4581.157823,19516.52151
Queue_for_ID_database,11069.21457,4581.157823,19520.52121
