Scenario,QueueTime
Current,479.6319687
Current,397.7909305
Current,288.7430735
Current,302.4834629
Current,293.0180559
Current,86.5683324
Current,0
Current,0
Current,0
Current,0
Current,1004.173505
Current,897.56127
Current,842.577664
Current,835.01716
Current,829.479725
Current,806.469639
Current,633.701606
Current,632.663499
Current,546.780644
Current,116.361837
Current,77.683285
Current,0
Current,985.990252
Current,883.004128
Current,801.092182
Current,812.216074
Current,759.191918
Current,619.533886
Current,578.981868
Current,277.304313
Current,226.871303
Current,0
Current,0
Current,0
Current,0
Current,0
Current,994.831057
Current,975.825375
Current,959.666479
Current,969.667503
Current,962.167717
Current,958.18832
Current,821.426166
Current,606.860416
Current,576.230112
Current,593.342904
Current,563.269475
Current,469.678457
Current,445.818151
Current,408.088878
Current,188.817818
Current,178.808349
Current,134.137994
Current,160.389074
Current,49.810431
Current,1003.043264
Current,980.93405
Current,518.025424
Current,524.248955
Current,477.389981
Current,468.258866
Current,404.337125
Current,285.185543
Current,112.153402
Current,70.086982
Current,19.638715
Current,0
Current,0
Current,3871.904648
Current,3866.334097
Current,3798.805277
Current,3610.448685
Current,3578.660286
Current,3530.746194
Current,3542.733206
Current,3444.820284
Current,3362.857749
Current,3327.090983
Current,3293.613412
Current,3296.768177
Current,3336.396954
Current,3287.456682
Current,3072.14083
Current,2914.316457
Current,2443.799088
Current,2445.05873
Current,2434.198336
Current,2424.921942
Current,2200.097895
Current,3260.637794
Current,2961.120843
Current,2927.951116
Current,2753.163713
Current,2655.571795
Current,2524.180287
Current,2486.863361
Current,2438.461955
Current,2413.516938
Current,2270.274227
Current,2051.73339
Current,1942.34347
Current,1878.27724
Current,1870.9914
Current,1873.52625
Current,1896.38879
Current,1620.92133
Current,1630.42916
Current,1639.91863
Current,1186.07839
Current,1188.14565
Current,2191.06332
Current,2223.84917
Current,2130.61241
Current,2088.17307
Current,2122.72009
Current,1992.1801
Current,1980.7733
Current,1928.10141
Current,1915.7092
Current,1730.2321
Current,1548.36697
Current,1531.98187
Current,1528.84654
Current,1554.09272
Current,1414.53743
Current,1408.83526
Current,1361.98182
Current,1210.26556
Current,1085.96205
Current,2053.37638
Current,1949.22231
Current,1897.67276
Current,1909.96461
Current,1897.3787
Current,1891.96506
Current,1706.35317
Current,1559.98709
Current,1470.62632
Current,1440.23461
Current,1403.37988
Current,1303.34066
Current,1236.1507
Current,1167.80485
Current,1094.01485
Current,1120.54542
Current,1121.32859
Current,1142.26258
Current,1010.70089
Current,934.67072
Current,816.74529
Current,711.91106
Current,1507.92993
Current,1310.52464
Current,1263.69251
Current,853.37212
Current,842.69956
Current,542.21115
Current,511.51822
Current,323.32886
Current,281.35967
Current,257.13959
Current,271.23419
Current,0
Current,0
Current,3719.50011
Current,3693.80885
Current,3681.32818
Current,3690.01028
Current,3679.03098
Current,3667.0111
Current,3707.52814
Current,3547.30221
Current,3440.60502
Current,3256.77791
Current,3160.22121
Current,3140.99796
Current,3156.02582
Current,3074.46362
Current,3049.91551
Current,2991.75373
Current,2892.75215
Current,2745.04534
Current,2767.96584
Current,2769.38406
Current,2520.01871
Current,3579.49945
Current,3532.46362
Current,3377.94498
Current,3393.52065
Current,3385.48226
Current,2827.05813
Current,2771.78984
Current,2577.47761
Current,2441.538
Current,2439.64605
Current,2357.57385
Current,2280.46409
Current,2284.98606
Current,2249.70965
Current,2209.71789
Current,1859.74683
Current,1834.2777
Current,1808.00791
Current,1565.15208
Current,1569.06969
Current,1524.39394
Current,2565.50836
Current,2504.88861
Current,2496.76571
Current,2449.69626
Current,2286.49237
Current,2165.8272
Current,2205.70983
Current,2222.43133
Current,2167.55447
Current,2044.62335
Current,2036.9781
Current,1989.84107
Current,1968.50404
Current,1843.87747
Current,1826.54941
Current,1518.14092
Current,1292.28794
Current,1283.47672
Current,1210.33021
Current,830.94487
Current,802.52673
Current,1841.46137
Current,1834.88332
Current,1842.7012
Current,1602.27597
Current,1614.66791
Current,1571.25086
Current,1457.28107
Current,1323.45207
Current,1309.49563
Current,1316.1965
Current,1289.49034
Current,1019.95673
Current,923.37042
Current,913.3066
Current,877.38569
Current,872.00853
Current,740.45168
Current,731.30036
Current,729.38292
Current,641.88877
Current,1522.82818
Current,1509.24644
Current,1416.61335
Current,1291.08585
Current,1230.90828
Current,1124.91678
Current,1107.09575
Current,1094.72526
Current,1100.8719
Current,1121.46135
Current,1062.46197
Current,1039.99337
Current,880.2016
Current,838.97987
Current,712.88287
Current,697.71045
Current,575.69505
Current,607.07418
Current,565.77335
Current,553.53659
Current,4426.35198
Current,4434.43485
Current,4309.56776
Current,4350.92234
Current,4359.51069
Current,4373.07885
Current,4348.82024
Current,4297.20061
Current,4255.30759
Current,4283.97287
Current,4267.46124
Current,4171.27987
Current,4171.77796
Current,4158.21926
Current,4180.028
Current,4205.75276
Current,4029.52748
Current,4026.49953
Current,3699.06907
Current,3633.72211
Current,3441.06595
Current,4283.5289
Current,3894.22447
Current,3916.11525
Current,3921.55011
Current,3905.58332
Current,3811.43961
Current,3834.36175
Current,3844.14792
Current,3778.93097
Current,3677.19463
Current,3681.3102
Current,3640.17724
Current,3441.78255
Current,3466.3382
