Scenario,QueueTime
Current,90.446358
Current,90.446358
Current,90.446358
Current,81.164968
Current,69.931864
Current,55.626638
Current,25.840791
Current,0
Current,1375.974166
Current,1353.493599
Current,41.053989
Current,41.053989
Current,41.053989
Current,31.997626
Current,19.176115
Current,0
Current,1385.327465
Current,1358.761984
Current,1341.849493
Current,1314.368236
Current,1330.447867
Current,1296.42738
Current,0
Current,142.581419
Current,0
Current,142.581419
Current,116.729722
Current,89.438918
Current,67.103597
Current,46.843064
Current,23.926756
Current,0
Current,1345.740095
Current,1334.622589
Current,73.87343
Current,73.87343
Current,56.258118
Current,38.013591
Current,23.30495
Current,0
Current,114.417669
Current,88.917417
Current,75.409647
Current,62.635438
Current,43.766648
Current,32.522196
Current,19.43155
Current,0
Current,4084.273756
Current,4066.928176
Current,4010.229214
Current,4037.863994
Current,3994.51656
Current,0.40208
Current,0.40208
Current,0
Current,132.13005
Current,121.4527
Current,81.19983
Current,96.46411
Current,58.90387
Current,24.28028
Current,47.90526
Current,0
Current,1283.52882
Current,1254.15955
Current,1233.08032
Current,1216.27795
Current,18.27973
Current,21.73241
Current,21.73241
Current,0
Current,116.58784
Current,100.26325
Current,81.73119
Current,70.10401
Current,52.21894
Current,41.66718
Current,28.56663
Current,0
Current,1262.42316
Current,1243.51736
Current,1216.4282
Current,1182.52011
Current,1203.33059
Current,1168.73293
Current,0
Current,0
Current,155.71371
Current,91.11678
Current,135.09942
Current,111.66223
Current,71.13038
Current,17.63819
Current,44.78757
Current,0
Current,124.81965
Current,143.83971
Current,103.96381
Current,76.44626
Current,57.55688
Current,33.24469
Current,22.76465
Current,0
Current,1154.12954
Current,73.5111
Current,73.5111
Current,67.80383
Current,43.05074
Current,57.02154
Current,15.84648
Current,0
Current,121.92841
Current,104.05384
Current,92.42435
Current,63.92378
Current,41.49842
Current,31.16779
Current,12.73097
Current,0
Current,1215.68657
Current,1203.01305
Current,1184.16817
Current,1161.80781
Current,1142.77076
Current,1120.8258
Current,0
Current,0
Current,120
Current,111.25194
Current,98.35338
Current,72.67686
Current,62.17184
Current,40.20881
Current,26.26787
Current,3.44615
Current,138.31476
Current,125.41382
Current,96.90195
Current,81.44779
Current,62.60072
Current,14.59876
Current,37.16605
Current,0
Current,4058.91561
Current,4036.47281
Current,4025.33302
Current,4011.7164
Current,27.29992
Current,27.29992
Current,27.29992
Current,0
Current,158.074
Current,133.88741
Current,108.51804
Current,51.12968
Current,79.52042
Current,31.11023
Current,0
Current,12.61527
Current,1235.34762
Current,1211.62775
Current,1197.05953
Current,27.94464
Current,27.94464
Current,18.57545
Current,27.94464
Current,124.28692
Current,0
Current,147.60295
Current,112.50409
Current,85.49877
