Scenario,QueueTime
Current,856.215211
Current,869.632804
Current,844.093933
Current,897.576257
Current,913.375323
Current,924.608427
Current,938.913653
Current,968.6995
Current,994.540291
Current,1009.173756
Current,870.757999
Current,850.743676
Current,838.139232
Current,888.51733
Current,907.195595
Current,920.017106
Current,939.193221
Current,952.811767
Current,979.377248
Current,1007.691365
Current,996.289739
Current,1023.770996
Current,850.646549
Current,881.257123
Current,861.797428
Current,892.250721
Current,909.344375
Current,936.498246
Current,963.78905
Current,986.124371
Current,1006.384904
Current,1029.301212
Current,1053.227968
Current,1078.779884
Current,854.286937
Current,878.307318
Current,906.596586
Current,931.902248
Current,950.146775
Current,964.855416
Current,988.160366
Current,1007.959322
Current,1033.459574
Current,1046.967344
Current,1059.741553
Current,1078.610343
Current,1089.854795
Current,1102.945441
Current,1122.376991
Current,1150.41526
Current,1196.825022
Current,1167.76084
Current,1224.459802
Current,3719.00643
Current,3732.91743
Current,3760.28788
Current,3779.40851
Current,3805.11595
Current,3840.78189
Current,3815.7933
Current,3856.04617
Current,3889.34074
Current,3878.34213
Current,3912.96572
Current,3937.246
Current,3957.21002
Current,3986.57929
Current,4007.65852
Current,876.16363
Current,857.74344
Current,842.68435
Current,906.13703
Current,924.41676
Current,945.93824
Current,962.26283
Current,980.79489
Current,992.42207
Current,1010.30714
Current,1020.8589
Current,1033.95945
Current,1062.52608
Current,1080.26119
Current,1099.16699
Current,1139.35376
Current,1126.25615
Current,1160.16424
Current,841.4396
Current,867.46998
Current,893.00412
Current,963.99362
Current,919.94214
Current,940.55643
Current,984.53907
Current,1030.86828
Current,1004.52547
Current,1058.01766
Current,1089.68287
Current,1075.65585
Current,1108.70293
Current,1129.55877
Current,1157.07632
Current,1175.9657
Current,1200.27789
Current,1210.75793
Current,1233.52258
Current,1260.82116
Current,2310.76255
Current,888.80023
Current,925.85057
Current,915.06828
Current,939.82137
Current,967.02563
Current,982.87211
Current,999.40687
Current,1017.28144
Current,1028.91093
Current,1057.4115
Current,1079.83686
Current,1090.16749
Current,1108.60431
Current,1121.33528
Current,1133.67444
Current,1146.34796
Current,1165.19284
Current,1187.5532
Current,1206.59025
Current,853.77828
Current,873.02706
Current,883.32396
Current,910.04681
Current,922.52634
Current,935.4249
Current,961.10142
Current,971.60644
Current,993.56947
Current,1007.51041
Current,1030.33213
Current,1045.27245
Current,1058.17339
Current,1086.68526
Current,1102.13942
Current,1146.42116
Current,1120.98649
Current,1168.98845
Current,1183.58721
Current,1202.16259
Current,1224.60539
Current,1235.74518
Current,3732.83802
Current,3772.62512
Current,3759.76004
Current,3791.33354
Current,3820.13794
Current,3850.01509
Current,3874.20168
Current,3928.56867
Current,3899.57105
Current,3956.95941
Current,3995.47382
Current,3976.97886
Current,4008.08909
Current,4025.43504
Current,4049.15491
Current,830.11565
Current,864.62616
Current,878.60382
Current,845.69914
Current,930.62955
Current,899.48484
Current,918.06029
Current,953.94558
Current,965.72841
Current,992.73373
Current,1056.01892
Current,1021.41225
Current,1036.85123
Current,1078.2325
Current,1118.90409
Current,1096.54018
Current,1168.0724
Current,1140.79122
Current,1184.05013
Current,858.23385
Current,874.14402
Current,834.45751
Current,891.97483
Current,916.02235
Current,931.00326
Current,948.81153
Current,971.1144
Current,1000.45751
Current,1016.7297
Current,1035.74441
Current,1061.24765
Current,1089.52338
Current,1100.56153
Current,1121.16667
Current,1149.65555
Current,1169.17912
Current,1183.81681
Current,1208.02965
Current,1226.65012
Current,1237.51207
Current,858.73072
Current,876.53458
Current,888.72287
Current,909.76471
Current,939.56066
Current,959.70426
Current,970.19909
Current,1027.10403
Current,999.1529
Current,1054.49625
Current,1097.09288
Current,1081.07847
Current,1110.4771
Current,1120.74367
Current,1145.53512
Current,1158.24799
Current,1175.71016
Current,1190.91606
Current,1211.25736
Current,1236.51268
Current,1253.28993
Current,853.04593
Current,841.93176
Current,876.29021
Current,891.58442
Current,914.7551
Current,933.59167
Current,947.92243
Current,969.28326
Current,997.26668
Current,1019.10817
Current,1035.88467
Current,1050.15383
Current,1063.94843
Current,1090.5489
Current,1116.41275
Current,1136.46788
Current,1150.37182
Current,1160.58434
Current,1175.67527
Current,1196.89911
Current,3734.07588
Current,3745.11363
Current,3763.20288
Current,3773.2911
Current,3795.44543
Current,3825.10831
Current,3847.30999
Current,3867.71839
Current,3884.38497
Current,3911.77137
Current,3941.42928
Current,3958.4487
Current,3980.5035
Current,3994.91417
Current,4022.19936
Current,4050.3341
Current,4075.10591
Current,4100.03452
Current,4110.72621
Current,4120.73905
Current,841.25765
Current,862.55005
Current,876.41001
Current,895.08498
Current,925.06986
Current,939.52156
Current,959.60967
Current,987.97042
Current,1001.04266
Current,1013.89159
Current,1029.10777
Current,1050.51764
Current,1064.37567
Current,1081.33472
Current,1110.40974
Current,1129.66672
Current,1145.58346
Current,1167.24486
Current,1212.56764
Current,1183.34035
Current,1239.29654
Current,854.16162
Current,843.14637
Current,880.98211
Current,908.83284
Current,924.77
Current,945.39063
Current,963.56118
Current,989.52391
Current,1006.5599
Current,1024.02124
Current,1049.62457
Current,1036.3899
Current,1075.97031
Current,1102.44544
Current,1120.78243
Current,1131.22693
Current,1154.81803
Current,1175.27827
Current,1201.21909
Current,1212.50774
Current,840.64608
Current,865.97906
Current,882.00538
Current,893.32657
Current,920.59995
Current,941.70788
Current,970.77957
Current,1000.73911
Current,1021.05493
Current,1050.59328
Current,1077.73234
Current,1096.72626
Current,1111.30685
Current,1135.66104
Current,1180.51402
Current,1164.47575
Current,1197.06461
Current,1222.09988
Current,1243.92489
Current,2290.28502
Current,902.14725
Current,882.09005
Current,925.1629
Current,946.68977
Current,963.37634
Current,973.92365
Current,994.30535
Current,1022.61115
Current,1049.79143
Current,1076.91566
Current,1060.07976
Current,1103.17144
Current,1133.16458
Current,1156.17183
Current,1176.57459
Current,1194.02222
Current,1214.24269
Current,1237.12943
Current,1247.65538
Current,1264.40639
Current,5179.87385
Current,3751.1644
Current,3782.46604
Current,3766.34083
Current,3793.51897
Current,3804.78306
Current,3823.23194
Current,3844.58323
Current,3862.00361
Current,3885.87989
Current,3909.21385
Current,3933.85706
Current,3950.80031
Current,3971.25956
Current,3990.6133
Current,4012.18859
Current,4034.50105
Current,4048.06533
Current,4077.81338
Current,4103.57698
Current,4127.27035
Current,867.77252
Current,885.6715
Current,905.4103
Current,922.25011
Current,967.2988
Current,949.61751
Current,992.74659
Current,1022.09919
Current,1041.77183
Current,1059.19778
Current,1109.28979
Current,1082.01968
Current,1122.74967
Current,1164.78314
Current,1134.93429
Current,1193.96157
Current,1213.85836
Current,1237.84064
Current,1260.42683
Current,2322.50863
Current,2300.45531
Current,874.46405
Current,893.01773
Current,914.86535
Current,932.07532
Current,953.67063
Current,965.61259
Current,989.14605
Current,1003.7224
Current,1032.9099
Current,1046.98512
Current,1063.90212
Current,1088.25946
Current,1107.05507
Current,1124.62039
Current,1135.90333
Current,1155.00769
Current,1173.82419
Current,1201.41881
Current,1224.95328
Current,2284.63302
Current,1238.24269
Current,901.32308
Current,927.51317
Current,939.5523
Current,954.37363
Current,975.32704
Current,995.727
Current,1020.69367
Current,1047.18033
Current,1069.7822
Current,1095.9515
Current,1121.99006
Current,1137.9112
Current,1162.80694
Current,1189.78325
Current,1215.19758
Current,1227.96287
Current,1253.21424
Current,1264.18637
Current,2308.38267
Current,2327.6467
Current,884.24634
Current,900.19661
Current,928.22357
Current,950.22739
Current,979.85288
Current,990.12608
Current,1010.59763
Current,1033.1731
Current,1075.34003
Current,1048.39667
Current,1097.46327
Current,1114.31351
Current,1143.55101
Current,1156.55722
Current,1182.92582
Current,1200.48261
Current,1219.77259
