Scenario,QueueTime
Current,17.651011
Current,36.294472
Current,0
Current,52.853381
Current,68.805558
Current,87.304486
Current,105.190428
Current,123.283828
Current,0
Current,16.036953
Current,71.468425
Current,52.211342
Current,32.230617
Current,86.679972
Current,105.114394
Current,121.101749
Current,0
Current,17.808939
Current,36.034592
Current,71.789333
Current,52.416441
Current,87.652363
Current,107.313777
Current,0
Current,122.321094
Current,15.341606
Current,30.772592
Current,49.084454
Current,68.590954
Current,87.373711
Current,1127.062145
Current,1145.196076
Current,0
Current,16.803356
Current,32.085887
Current,48.375288
Current,66.39786
Current,86.049351
Current,102.25575
Current,117.513072
Current,2.564599
Current,18.789313
Current,3936.165575
Current,3951.676715
Current,3968.665195
Current,3987.891175
Current,4002.989845
Current,4019.282185
Current,0
Current,16.37919
Current,52.08803
Current,34.21475
Current,69.36973
Current,88.24581
Current,106.3724
Current,125.97868
Current,0
Current,19.47661
Current,56.56016
Current,37.25462
Current,71.81992
Current,1130.43181
Current,1110.75425
Current,1146.19094
Current,0
Current,15.66904
Current,31.51373
Current,48.93134
Current,102.35766
Current,84.78211
Current,64.92398
Current,118.91397
Current,0
Current,19.36906
Current,39.16104
Current,58.6192
Current,76.67695
Current,1112.88121
Current,1130.83536
Current,1150.24923
Current,0
Current,18.38071
Current,35.52657
Current,71.01015
Current,51.11291
Current,89.4262
Current,108.61836
Current,125.65464
Current,0
Current,53.21719
Current,15.84279
Current,35.76145
Current,1090.95523
Current,1128.28979
Current,1108.37821
Current,1145.69642
Current,1022.86992
Current,1002.88519
Current,1041.25835
Current,1058.36922
Current,1073.44342
Current,1090.49622
Current,1106.53441
Current,1125.62376
Current,0
Current,16.69497
Current,35.63568
Current,51.83185
Current,89.79981
Current,70.54371
Current,106.72439
Current,123.56987
Current,4.90924
Current,24.81103
Current,1060.78383
Current,1076.26128
Current,1092.63793
Current,1109.78137
Current,1125.3171
Current,1142.87749
Current,0
Current,19.7667
Current,37.62729
Current,57.30322
Current,73.18683
Current,89.02183
Current,106.71883
Current,123.20285
Current,22.01378
Current,40.70405
Current,57.69188
Current,75.30658
Current,91.17622
Current,107.29881
Current,4022.70356
Current,4041.48713
Current,3907.85177
Current,3922.98231
Current,3941.82026
Current,3959.49793
Current,3977.58631
Current,4012.72998
Current,3993.53069
Current,4029.1388
Current,0
Current,15.23379
Current,30.38212
Current,48.96326
Current,65.2309
Current,104.50336
Current,84.90283
Current,119.77316
Current,0
Current,17.27799
Current,1053.40514
Current,1085.39218
Current,1068.86281
Current,1100.60198
Current,1135.93497
Current,1118.20796
Current,0
Current,18.9286
Current,35.66122
Current,51.9139
Current,90.19363
Current,109.44489
Current,71.28591
Current,17.30699
Current,124.83912
Current,0
Current,34.3218
Current,1072.75514
Current,1090.97063
Current,1145.74264
Current,1109.25573
Current,1128.48896
Current,0
Current,33.39118
Current,16.87122
Current,68.90984
Current,49.40128
Current,86.47811
Current,123.15736
Current,0
Current,105.07356
Current,15.10945
Current,32.86671
Current,49.73739
Current,69.1362
Current,85.17616
Current,1121.65244
Current,1138.8519
Current,983.28456
Current,999.33036
Current,1018.05849
Current,1033.48504
Current,1050.45003
Current,1069.65153
Current,1085.57096
Current,1103.07565
Current,0
Current,16.55869
Current,36.07675
Current,51.64865
Current,70.66068
Current,88.40805
Current,107.15503
Current,127.01299
Current,0
Current,15.51171
Current,1072.41768
Current,33.46257
Current,1088.84609
Current,1127.6934
Current,1108.19846
Current,1145.44324
Current,0
Current,15.697
Current,35.00249
Current,53.56527
Current,70.67134
Current,88.94249
Current,107.35377
Current,124.6471
Current,40.13663
Current,21.54559
Current,55.23199
Current,72.84817
Current,88.27103
Current,106.02144
Current,4024.53797
Current,4042.06444
Current,3928.49536
Current,3945.41846
Current,3961.32853
Current,3980.10879
Current,3998.39625
Current,4013.64967
Current,4030.37643
Current,4046.40411
Current,0
Current,15.05604
Current,33.37585
Current,52.06095
Current,69.80772
Current,85.30496
Current,104.34409
Current,124.18758
Current,0
Current,17.17967
Current,33.02171
Current,50.78163
Current,1085.93754
Current,1102.23971
Current,1122.01974
Current,1138.74844
Current,1005.96461
Current,1024.28126
Current,1043.25215
Current,1058.63169
Current,1075.54223
Current,1092.79625
Current,1112.71175
Current,1129.41091
Current,0
Current,18.14082
Current,37.40968
Current,52.73312
Current,69.47494
Current,85.65358
Current,105.07796
Current,123.97498
Current,1017.84323
Current,1035.45128
Current,1052.9725
Current,1069.51961
Current,1089.09351
Current,1107.52253
Current,1126.2563
Current,1145.02473
Current,0
Current,18.39962
Current,53.61851
Current,34.35234
Current,70.56223
Current,108.76433
Current,89.54718
Current,124.31814
Current,3.11763
Current,18.29572
Current,37.80265
Current,54.1554
Current,73.13896
Current,90.50402
Current,1128.25891
Current,1000.29181
Current,1143.34945
Current,1015.9474
Current,1032.13544
Current,1047.18
Current,1065.14584
Current,1080.49734
Current,1095.85465
Current,1113.78288
Current,0
Current,18.47479
Current,34.9399
Current,53.90622
Current,72.31685
Current,89.84386
Current,109.69406
Current,127.45053
Current,985.58634
Current,1004.4885
Current,1021.22746
Current,1036.6912
Current,1055.44672
Current,1075.07126
Current,1092.69417
Current,0
Current,1107.83916
Current,17.3339
Current,34.20525
Current,52.45528
Current,72.04339
Current,111.1716
Current,91.73274
Current,127.76807
Current,0
Current,15.61424
Current,32.3911
Current,47.75602
Current,3966.19684
Current,3983.25047
Current,4017.47083
Current,3998.55909
Current,3872.92039
Current,3889.08675
Current,3906.16392
Current,3923.60994
Current,3939.75837
Current,3958.88197
Current,3977.30739
Current,3996.17493
Current,0
Current,18.93568
Current,37.75352
Current,73.83441
Current,54.06648
Current,89.81354
Current,107.97675
Current,126.18346
Current,0
Current,1036.14579
Current,1053.3934
Current,1072.25716
Current,1089.31812
Current,1107.10397
Current,1124.2412
Current,1143.18215
Current,0
Current,19.86676
Current,39.52698
Current,55.81084
Current,73.34957
Current,88.36932
Current,105.69636
Current,124.66243
Current,0
Current,17.39603
Current,53.26232
Current,34.6947
Current,68.33176
Current,1104.83606
Current,1120.09809
Current,1138.08781
Current,996.81398
Current,977.36225
Current,1013.13602
Current,1049.53651
Current,1032.48829
Current,1064.79653
Current,1081.0661
Current,1099.83765
Current,0
Current,34.01339
Current,16.17858
Current,50.07779
Current,65.20733
Current,82.37398
Current,100.1594
Current,118.8355
Current,0
Current,1035.96625
Current,1052.94485
Current,1068.32379
Current,1085.84591
Current,1103.28367
Current,1120.01054
Current,1136.54842
Current,0
Current,17.08018
Current,33.16668
Current,52.15737
Current,70.00373
Current,89.91149
Current,125.67895
Current,105.83978
Current,0
Current,17.10496
Current,34.00485
Current,53.70311
Current,69.25738
Current,88.38901
Current,1128.02813
Current,1145.22839
Current,977.77155
Current,992.97177
Current,1009.81944
Current,1027.62
Current,1045.53189
Current,1060.82886
Current,1078.91332
Current,1095.09551
Current,0
Current,17.16893
Current,36.55706
Current,54.36284
Current,72.90704
Current,89.85566
Current,105.94375
Current,122.34569
Current,3899.44423
Current,3917.78254
Current,3936.19576
Current,3951.64866
Current,3985.71696
Current,3969.19121
Current,4001.47501
Current,4019.43523
Current,0
Current,19.25317
Current,35.96848
Current,51.01412
Current,69.14871
Current,87.86023
Current,106.09488
Current,121.27653
Current,0
Current,19.18177
Current,37.6983
Current,74.71397
Current,54.79729
Current,1111.30909
Current,1130.81013
Current,1146.4777
Current,992.73603
Current,1010.17018
Current,1026.23077
Current,1042.52891
Current,1061.17771
Current,1076.82416
Current,1111.74159
Current,1092.08043
Current,0
Current,17.49307
Current,52.53006
Current,32.76005
Current,70.14206
Current,105.49603
Current,85.64525
Current,125.22133
Current,26.904
Current,7.94673
Current,42.35188
Current,58.01909
Current,73.54742
Current,1113.11779
Current,1132.40232
Current,1148.13503
Current,987.60587
Current,1004.90329
Current,1022.99067
Current,1040.0552
Current,1056.09839
Current,1073.53098
Current,1091.79844
Current,1106.96719
Current,0
Current,16.4244
Current,36.10772
Current,52.27564
Current,71.04599
Current,86.12451
Current,102.46712
Current,121.2137
Current,0
Current,1039.07019
Current,1057.72175
Current,1076.55773
Current,1093.45705
Current,1111.39511
Current,1129.46674
Current,1145.80172
Current,19.9813
Current,0
Current,36.27409
Current,55.68803
Current,72.05326
Current,88.78524
Current,106.06804
Current,124.26656
Current,0
Current,16.9245
Current,33.7463
Current,49.62648
Current,66.20783
Current,82.34176
Current,1117.72342
Current,1134.27376
Current,997.92515
Current,1017.4304
