URN,QCSI,QDataInput,QSamPrep,Qextraction,Qvalidation
1,479.6319687,358.2730615,856.215211,1474.461129,1.530202
2,397.7909305,355.0866448,869.632804,1446.517676,3.258894
3,288.7430735,361.1713294,844.093933,1487.878722,0
4,302.4834629,304.2714118,897.576257,1430.71861,4.570676
5,293.0180559,293.8834512,913.375323,1419.485506,5.761112
6,86.5683324,292.6784825,924.608427,1405.18028,7.460897
7,0,137.2828132,938.913653,1375.394433,9.038086
8,0,109.1669375,968.6995,1349.553642,10.656766
9,0,107.2622832,994.540291,1334.920177,12.011398
10,0,59.4048203,1009.173756,1312.43961,13.218789
11,1004.173505,346.202336,870.757999,9.621902,18.305083
12,897.56127,352.464504,850.743676,27.381233,16.453667
13,842.577664,366.747715,838.139232,47.395556,14.457522
14,835.01716,302.583687,888.51733,3230.943637,1080
15,829.479725,295.438289,907.195595,3218.122126,1081.68688
16,806.469639,283.064906,920.017106,3198.946011,1082.88436
17,633.701606,240.402797,939.193221,3185.327465,1084.5091
18,632.663499,231.974148,952.811767,3158.761984,1086.07089
19,546.780644,224.752718,979.377248,3141.849493,1087.71602
20,116.361837,172.260863,1007.691365,3114.368236,1090.86697
21,77.683285,175.40517,996.289739,3130.447867,1088.99239
22,0,41.44262,1023.770996,3096.42738,1092.03957
23,985.990252,369.395148,850.646549,1848.849121,1093.97186
24,883.004128,357.745216,881.257123,1818.395828,1096.54014
25,801.092182,365.867169,861.797428,1829.389426,1094.97332
26,812.216074,314.753028,892.250721,1801.302174,1097.60847
27,759.191918,302.119294,909.344375,1774.148303,1098.69466
28,619.533886,288.829008,936.498246,1746.857499,1100.35704
29,578.981868,249.307777,963.78905,1724.522178,1102.25834
30,277.304313,231.953285,986.124371,1704.261645,1104.01489
31,226.871303,225.659275,1006.384904,1681.345337,1105.95257
32,0,145.721709,1029.301212,1657.418581,1107.57936
33,0,127.613526,1053.227968,1631.866665,1109.11392
34,0,69.090498,1078.779884,1620.749159,1110.47459
35,0,381.040562,854.286937,395.979618,1111.5311
36,0,370.199658,878.307318,367.69035,1112.78898
37,994.831057,350.112545,906.596586,342.384688,1114.39349
38,975.825375,323.273972,931.902248,324.140161,1116.32379
39,959.666479,316.612725,950.146775,309.43152,1117.56507
40,969.667503,282.521229,964.855416,286.12657,1118.61654
41,962.167717,265.448647,988.160366,266.327614,1120.47017
42,958.18832,255.640567,1007.959322,240.827362,1121.71511
43,821.426166,227.465825,1033.459574,227.319592,1123.19036
44,606.860416,205.477502,1046.967344,214.545383,1124.29259
45,576.230112,188.259704,1059.741553,195.676593,1125.69029
46,593.342904,175.244698,1078.610343,184.432141,1127.53548
47,563.269475,147.439041,1089.854795,171.341495,1128.55522
48,469.678457,118.123232,1102.945441,151.909945,1129.81368
49,445.818151,116.940534,1122.376991,123.871676,1131.75061
50,408.088878,85.18003,1150.41526,106.526096,1133.02644
51,188.817818,55.752707,1196.825022,49.827134,1136.16821
52,178.808349,56.218944,1167.76084,77.461914,1134.59355
53,134.137994,19.361206,1224.459802,34.11448,1137.62455
54,160.389074,413.072446,3719.00643,2926.089,0
55,49.810431,406.186785,3732.91743,2898.71855,1.62532
56,1003.043264,355.387131,3760.28788,2879.59792,3.54657
57,980.93405,344.337782,3779.40851,2853.89048,5.25886
58,518.025424,344.096045,3805.11595,2843.21313,7.15418
59,524.248955,287.604098,3840.78189,2802.96026,10.57089
60,477.389981,290.733934,3815.7933,2818.22454,8.70978
61,468.258866,278.036104,3856.04617,2780.6643,11.62284
62,404.337125,220.651541,3889.34074,2746.04071,15.34522
63,285.185543,231.443216,3878.34213,2769.66569,13.40971
64,112.153402,218.51302,3912.96572,2721.76043,16.49705
65,70.086982,175.65948,3937.246,2701.79641,17.85981
66,19.638715,164.152712,3957.21002,2672.42714,18.99361
67,0,40.106737,3986.57929,2651.34791,20.16255
68,0,12.155756,4007.65852,2634.54554,21.64607
69,3871.904648,348.26195,876.16363,1436.54732,26.33134
70,3866.334097,358.48458,857.74344,1466.52072,24.81623
71,3798.805277,361.17871,842.68435,1484.94091,22.8446
72,3610.448685,301.44102,906.13703,1418.26759,27.6426
73,3578.660286,290.36357,924.41676,1396.74611,29.02189
74,3530.746194,277.21177,945.93824,1380.42152,30.8957
75,3542.733206,232.81582,962.26283,1361.88946,32.8541
76,3444.820284,227.4329,980.79489,1350.26228,34.74573
77,3362.857749,219.45208,992.42207,1332.37721,36.35728
78,3327.090983,170.20285,1010.30714,1321.82545,37.59813
79,3293.613412,159.06312,1020.8589,1308.7249,39.18896
80,3296.768177,149.71989,1033.95945,1280.15827,41.07173
81,3336.396954,106.22313,1062.52608,1262.42316,42.99773
82,3287.456682,98.69395,1080.26119,1243.51736,44.67388
83,3072.14083,94.30535,1099.16699,1216.4282,46.10305
84,2914.316457,33.99923,1139.35376,1182.52011,49.19977
85,2443.799088,34.59334,1126.25615,1203.33059,47.22032
86,2445.05873,27.08918,1160.16424,1168.73293,50.88297
87,2434.198336,394.50236,841.4396,33.96962,52.72141
88,2424.921942,392.44504,867.46998,8.43548,54.12866
89,2200.097895,390.59768,893.00412,3221.49746,1080
90,3260.637794,321.9724,963.99362,3156.90053,1084.64344
91,2961.120843,331.25877,919.94214,3200.88317,1081.16856
92,2927.951116,328.62254,940.55643,3177.44598,1083.15229
93,2753.163713,270.16115,984.53907,3136.91413,1086.19105
94,2655.571795,256.19772,1030.86828,3083.42194,1089.65796
95,2524.180287,260.91884,1004.52547,3110.57132,1087.67564
96,2486.863361,218.49531,1058.01766,3065.78375,1091.13928
97,2438.461955,186.98892,1089.68287,3032.73667,1094.14733
98,2413.516938,192.19171,1075.65585,3051.75673,1092.15038
99,2270.274227,158.21551,1108.70293,3011.88083,1095.82502
100,2051.73339,140.26558,1129.55877,2984.36328,1097.24719
101,1942.34347,126.85633,1157.07632,2965.4739,1098.26203
102,1878.27724,101.0107,1175.9657,2941.16171,1099.67259
103,1870.9914,73.52991,1200.27789,2930.68167,1100.88023
104,1873.52625,57.8058,1210.75793,2907.91702,1102.6981
105,1896.38879,41.80481,1233.52258,2880.61844,1104.60371
106,1620.92133,7.44319,1260.82116,1830.67705,1105.9427
107,1630.42916,0.07222,2310.76255,1820.56078,1107.73084
108,1639.91863,396.63388,888.80023,1794.29273,1108.97008
109,1186.07839,359.91264,925.85057,1769.53964,1112.56367
110,1188.14565,360.26257,915.06828,1783.51044,1110.71245
111,2191.06332,337.02794,939.82137,1742.33538,1113.94858
112,2223.84917,289.11086,967.02563,1726.4889,1115.31768
113,2130.61241,287.62665,982.87211,1709.95414,1117.27819
114,2088.17307,280.05369,999.40687,1692.07957,1119.25855
115,2122.72009,234.22493,1017.28144,1680.45008,1120.45311
116,1992.1801,229.33012,1028.91093,1651.94951,1121.5486
117,1980.7733,219.69068,1057.4115,1629.52415,1122.82393
118,1928.10141,179.04936,1079.83686,1619.19352,1124.25262
119,1915.7092,167.85679,1090.16749,1600.7567,1125.35976
120,1730.2321,164.17461,1108.60431,1588.02573,1126.87184
121,1548.36697,108.23238,1121.33528,1575.68657,1127.99355
122,1531.98187,105.5239,1133.67444,1563.01305,1129.94689
123,1528.84654,94.10464,1146.34796,1544.16817,1131.51901
124,1554.09272,51.58552,1165.19284,1521.80781,1133.45419
125,1414.53743,49.06249,1187.5532,1502.77076,1134.63091
126,1408.83526,32.24711,1206.59025,1480.8258,1135.79791
127,1361.98182,412.97154,853.77828,400.75122,1137.33731
128,1210.26556,403.50602,873.02706,390.45432,1138.63412
129,1085.96205,387.15818,883.32396,363.73147,1140.3963
130,2053.37638,353.00202,910.04681,351.25194,1142.13436
131,1949.22231,341.88129,922.52634,338.35338,1143.53192
132,1897.67276,330.56409,935.4249,312.67686,1145.05486
133,1909.96461,295.51005,961.10142,302.17184,1146.22879
134,1897.3787,287.38271,971.60644,280.20881,1147.45331
135,1891.96506,265.11564,993.56947,266.26787,1148.53426
136,1706.35317,237.84984,1007.51041,243.44615,1150.29097
137,1559.98709,234.82793,1030.33213,228.50583,1151.52569
138,1470.62632,199.45129,1045.27245,215.60489,1152.5518
139,1440.23461,176.04734,1058.17339,187.09302,1154.31939
140,1403.37988,171.80174,1086.68526,171.63886,1155.85492
141,1303.34066,142.57966,1102.13942,152.79179,1157.4726
142,1236.1507,108.79675,1146.42116,104.78983,1160.50133
143,1167.80485,113.40882,1120.98649,127.35712,1158.66147
144,1094.01485,77.50875,1168.98845,90.19107,1161.78309
145,1120.54542,59.98984,1183.58721,71.61569,1163.5202
146,1121.32859,56.07343,1202.16259,49.17289,1164.56695
147,1142.26258,12.82449,1224.60539,38.0331,1165.59662
148,1010.70089,2.02857,1235.74518,24.41648,1167.31285
149,934.67072,406.0338,3732.83802,2913.07798,0
150,816.74529,363.29804,3772.62512,2881.50448,3.85449
