Stages,Average,5thPercentile,95thPercentile
Start_Point,0,0,0
Queue_for_CSI_visit,102.9648466,0,343.17294
CSI_visit,177.9731806,68.1845255,425.05751
Queue_for_Courier,208.9830385,68.1845255,511.2039105
Courier,298.4805349,131.0000255,628.0070605
Queue_for_Sample_prep,299.9753175,131.0000255,645.1704305
Sample_prep,317.4767939,146.2598355,664.9455305
Queue_for_DNA_sequencer,668.5742311,146.2598355,1496.876388
DNA_Sequencer,788.5742311,266.2598355,1616.876388
Queue_for_validation,840.9758823,266.2598355,1723.686483
Validation,855.9581045,276.7568355,1743.200133
Queue_for_ID_database,855.9581045,276.7568355,1743.200133
